Shift shiftarea shiftellipticity  ARL  Std  Q1  Med  Q3  Max
 1.600 0.050 0.800     8.0642     0.0811     4.0000     7.0000    11.0000    89.0000     0.0000
 1.600 0.050 0.750     7.9646     0.0771     4.0000     7.0000    10.0000    51.0000     0.0000
 1.600 0.050 0.700     8.0170     0.0778     4.0000     7.0000    10.0000    55.0000     0.0000
 1.600 0.050 0.650     8.0074     0.0802     4.0000     7.0000    11.0000    59.0000     0.0000
 1.600 0.050 0.600     7.9044     0.0788     4.0000     7.0000    10.0000    67.0000     0.0000
 1.600 0.050 0.550     8.1000     0.0798     4.0000     7.0000    11.0000    50.0000     0.0000
 1.600 0.050 0.500     8.0970     0.0819     4.0000     7.0000    11.0000    64.0000     0.0000
 1.600 0.050 0.450     8.0916     0.0816     4.0000     7.0000    10.0000    55.0000     0.0000
 1.600 0.050 0.400     8.0434     0.0796     4.0000     7.0000    11.0000    73.0000     0.0000
 1.600 0.050 0.350     8.1782     0.0820     4.0000     7.0000    11.0000    72.0000     0.0000
 1.600 0.050 0.300     8.3692     0.0835     4.0000     7.0000    11.0000    50.0000     0.0000
 1.600 0.050 0.250     8.2766     0.0848     4.0000     7.0000    11.0000    68.0000     0.0000
 1.600 0.050 0.200     8.4020     0.0873     4.0000     7.0000    11.0000    59.0000     0.0000
 1.600 0.050 0.150     8.5782     0.0864     4.0000     7.0000    11.0000    63.0000     0.0000
 1.600 0.050 0.100     8.7382     0.0961     4.0000     7.0000    11.0000   160.0000     0.0000
 1.600 0.050 0.050     9.4734     0.1043     4.0000     7.0000    13.0000    87.0000     0.0000
 1.600 0.040 1.000     9.1948     0.0935     5.0000     8.0000    12.0000    77.0000     0.0000
 1.600 0.040 0.950     9.2258     0.0959     4.0000     8.0000    12.0000    94.0000     0.0000
 1.600 0.040 0.900     8.9896     0.0921     4.0000     7.0000    12.0000    60.0000     0.0000
 1.600 0.040 0.850     9.1808     0.0920     5.0000     8.0000    12.0000    81.0000     0.0000
 1.600 0.040 0.800     9.1762     0.0951     4.0000     8.0000    12.0000    90.0000     0.0000
 1.600 0.040 0.750     9.2678     0.0957     5.0000     8.0000    12.0000    94.0000     0.0000
 1.600 0.040 0.700     9.0134     0.0923     4.0000     7.0000    12.0000    58.0000     0.0000
 1.600 0.040 0.650     9.1544     0.0943     4.0000     8.0000    12.0000    83.0000     0.0000
 1.600 0.040 0.600     9.1162     0.0926     5.0000     7.0000    12.0000    66.0000     0.0000
 1.600 0.040 0.550     8.9774     0.0934     4.0000     7.0000    12.0000    80.0000     0.0000
 1.600 0.040 0.500     9.1378     0.0977     4.0000     7.0000    12.0000   120.0000     0.0000
 1.600 0.040 0.450     9.4430     0.0965     5.0000     8.0000    12.0000    58.0000     0.0000
 1.600 0.040 0.400     9.3664     0.0941     5.0000     8.0000    12.0000    62.0000     0.0000
 1.600 0.040 0.350     9.2282     0.0983     4.0000     7.0000    12.0000    72.0000     0.0000
 1.600 0.040 0.300     9.4356     0.0998     5.0000     8.0000    12.0000    95.0000     0.0000
 1.600 0.040 0.250     9.3638     0.0984     4.0000     8.0000    12.0000    66.0000     0.0000
 1.600 0.040 0.200     9.5758     0.1022     5.0000     8.0000    13.0000   113.0000     0.0000
 1.600 0.040 0.150     9.7596     0.1014     5.0000     8.0000    13.0000    79.0000     0.0000
 1.600 0.040 0.100     9.8732     0.1112     5.0000     8.0000    13.0000   120.0000     0.0000
 1.600 0.040 0.050    10.9874     0.1265     5.0000     8.0000    14.0000    88.0000     0.0000
 1.600 0.030 1.000    10.9392     0.1188     5.0000     9.0000    14.0000    83.0000     0.0000
 1.600 0.030 0.950    10.8490     0.1171     5.0000     9.0000    14.0000   126.0000     0.0000
 1.600 0.030 0.900    10.9900     0.1205     5.0000     9.0000    15.0000   112.0000     0.0000
 1.600 0.030 0.850    10.8606     0.1163     5.0000     9.0000    14.0000    90.0000     0.0000
 1.600 0.030 0.800    10.9148     0.1197     5.0000     9.0000    14.0000    93.0000     0.0000
 1.600 0.030 0.750    10.9016     0.1160     5.0000     9.0000    14.0000    77.0000     0.0000
 1.600 0.030 0.700    10.7714     0.1154     5.0000     9.0000    14.0000    75.0000     0.0000
