Shift shiftarea shift_ratio  ARL  Std  Q1  Med  Q3  Max
 2.000 0.010 1.400    18.7508     0.2458     7.0000    14.0000    24.0000   198.0000     0.0000
 2.000 0.010 1.300    19.5608     0.2548     8.0000    14.0000    25.0000   177.0000     0.0000
 2.000 0.010 1.200    19.9146     0.2658     7.0000    15.0000    26.0000   220.0000     0.0000
 2.000 0.010 1.100    19.7652     0.2644     7.0000    14.0000    26.0000   174.0000     0.0000
 2.000 0.010 1.000    20.4598     0.3010     8.0000    14.0000    27.0000   349.0000     0.0000
 2.000 0.010 0.900    20.8168     0.2958     7.0000    15.0000    27.0000   245.0000     0.0000
 2.000 0.010 0.800    22.0260     0.3462     8.0000    15.0000    28.0000   353.0000     0.0000
 2.000 0.010 0.700    23.6080     0.4684     8.0000    15.0000    29.0000   979.0000     0.0000
 2.000 0.010 0.600    23.8924     0.4567     8.0000    15.0000    29.0000   555.0000     0.0000
 2.000 0.010 0.500    26.0664     0.5096     8.0000    16.0000    31.0000   714.0000     0.0000
 2.000 0.010 0.400    28.4968     0.6464     8.0000    17.0000    32.0000  1108.0000     0.0000
 2.000 0.010 0.300    30.5848     0.7422     8.0000    17.0000    34.0000   932.0000     0.0000
 2.000 0.010 0.200    34.9414     0.8454     9.0000    19.0000    37.0000  1299.0000     0.0000
 2.000 0.010 0.100    42.6238     1.0495     9.0000    20.0000    44.0000  1216.0000     0.0000
 1.600 0.050 2.000     8.0442     0.0796     4.0000     7.0000    10.0000    51.0000     0.0000
 1.600 0.050 1.900     7.9352     0.0780     4.0000     7.0000    10.0000    54.0000     0.0000
 1.600 0.050 1.800     8.0226     0.0774     4.0000     7.0000    11.0000    42.0000     0.0000
 1.600 0.050 1.700     7.9564     0.0804     4.0000     7.0000    10.0000    58.0000     0.0000
 1.600 0.050 1.600     7.9784     0.0787     4.0000     7.0000    10.0000    50.0000     0.0000
 1.600 0.050 1.500     8.1806     0.0802     4.0000     7.0000    11.0000    91.0000     0.0000
 1.600 0.050 1.400     8.0626     0.0813     4.0000     7.0000    10.0000    72.0000     0.0000
 1.600 0.050 1.300     8.2066     0.0843     4.0000     7.0000    11.0000    64.0000     0.0000
 1.600 0.050 1.200     8.2348     0.0869     4.0000     7.0000    11.0000    82.0000     0.0000
 1.600 0.050 1.100     8.2976     0.0892     4.0000     7.0000    11.0000    85.0000     0.0000
